"","cc1","pconf3","pcomp3","cc2fixed","cc3","pconf1","pcomp1","cc4fixed","cc5","pconf2","pcomp2","cc6fixed","ResponseId","religion3","course","biomajor","institution","gender","semester","raceoriginal","pconf","pcomp"
"3108",4,2,4,2,4,2,4,2,3,3,4,2,"R_UAWaTrkm6qBP1CN","Agnostic",14,"No",1,"Woman","Spring 2020","White",2.33333333333333,4
"3109",1,5,4,2,1,5,2,4,1,5,2,4,"R_uayfnrFhyGqQ1fb","Agnostic",73,"No",16,NA,"Spring 2021","Latinx",5,2.66666666666667
"3110",5,1,4,2,3,3,4,2,3,3,4,2,"R_UbEeXYn8AUjoYBr","Agnostic",62,"Yes",7,"Woman","Spring 2021","White",2.33333333333333,4
"3111",5,1,5,1,3,3,5,1,5,1,4,2,"R_ufBFp2nDV7RSSJP","Agnostic",76,"Yes",19,"Man","Spring 2021","White",1.66666666666667,4.66666666666667
"3112",2,4,5,1,2,4,4,2,2,4,5,1,"R_Ug0zc6QJ6Ya1p3H","Agnostic",28,"No",11,"Woman","Spring 2020","White",4,4.66666666666667
"3113",3,3,4,2,2,4,4,2,3,3,4,2,"R_Ug6MLIieY8Aehu9","Agnostic",14,"Yes",1,"Man","Spring 2020","Multiracial",3.33333333333333,4
"3114",5,1,3,3,4,2,4,2,3,3,4,2,"R_ugdGZR3fpkCebJv","Agnostic",13,"Yes",25,"Woman","Fall 2018","White",2,3.66666666666667
"3115",4,2,4,2,2,4,4,2,2,4,4,2,"R_uggPls3KYOzYD7j","Agnostic",73,"Yes",16,"Woman","Spring 2021","Asian",3.33333333333333,4
"3116",4,2,4,2,3,3,5,1,2,4,5,1,"R_ugNLvtw9o8luygp","Agnostic",41,"No",23,"Man","Spring 2020","Black",3,4.66666666666667
"3117",3,3,3,3,2,4,4,2,2,4,4,2,"R_ugp3HZh6cS3HMeR","Agnostic",73,"No",16,"Woman","Spring 2021","Multiracial",3.66666666666667,3.66666666666667
"3118",3,3,3,3,2,4,4,2,3,3,4,2,"R_UL6AYxWzM1ye3uh","Agnostic",74,"Yes",17,"Woman","Spring 2021","White",3.33333333333333,3.66666666666667
"3119",2,4,4,2,2,4,4,2,2,4,4,2,"R_Ulw0QpwVeB3kyAN","Agnostic",30,"Yes",12,"Man","Spring 2020","White",4,4
"3120",4,2,3,3,1,5,5,1,2,4,5,1,"R_UMbPw5Jw1AC0iVH","Agnostic",8,"Yes",11,"Woman","Fall 2018",NA,3.66666666666667,4.33333333333333
"3121",4,2,4,2,3,3,4,2,2,4,4,2,"R_UMUhTVgKoPgZNAJ","Agnostic",7,"Yes",8,"Woman","Fall 2018","White",3,4
"3122",3,3,3,3,3,3,4,2,3,3,4,2,"R_Un1S4gAnCJo2ndv","Agnostic",56,"Yes",16,"Woman","Fall 2020","Asian",3,3.66666666666667
"3123",5,1,5,1,1,5,5,1,1,5,5,1,"R_UouogQXkMNtr2iB","Agnostic",14,"No",1,"Woman","Spring 2020","White",3.66666666666667,5
"3124",4,2,4,2,4,2,4,2,3,3,3,3,"R_upFhb11fqrHzW5b","Agnostic",8,"Yes",11,"Woman","Fall 2018","White",2.33333333333333,3.66666666666667
"3125",2,4,1,5,3,3,2,4,2,4,3,3,"R_UPU3Z3agnR3fr8Z","Agnostic",68,"No",13,"Woman","Spring 2021","White",3.66666666666667,2
"3126",3,3,4,2,4,2,5,1,4,2,4,2,"R_uqC1DfzdCGxbB1n","Agnostic",8,"Yes",11,"Woman","Fall 2018","White",2.33333333333333,4.33333333333333
"3127",5,1,4,2,2,4,4,2,2,4,4,2,"R_UsbcSDg54LkFiuZ","Agnostic",36,"No",19,"Woman","Spring 2020","White",3,4
"3128",4,2,1,5,1,5,4,2,1,5,4,2,"R_usNHuS0qncqMOOJ","Agnostic",74,"Yes",17,"Man","Spring 2021","White",4,3
"3129",2,4,2,4,2,4,4,2,2,4,4,2,"R_UswOk6iewGMtYvn","Agnostic",14,"Yes",1,"Woman","Spring 2020","White",4,3.33333333333333
"3130",5,1,5,1,2,4,5,1,3,3,5,1,"R_UxAj9w0jUyo3HJD","Agnostic",14,"No",1,"Man","Spring 2020","Latinx",2.66666666666667,5
"3131",4,2,2,4,4,2,3,3,3,3,4,2,"R_uy7mSFRtErWho7n","Agnostic",40,"No",23,"Man","Spring 2020","Multiracial",2.33333333333333,3
"3132",3,3,4,2,4,2,4,2,3,3,4,2,"R_uyWsiZllWDV6cA9","Agnostic",73,"Yes",16,"Man","Spring 2021","Asian",2.66666666666667,4
"3133",1,5,4,2,3,3,4,2,2,4,4,2,"R_UYYf1ZqDSKSghkB","Agnostic",23,"Yes",5,"Man","Spring 2020","Latinx",4,4
"3134",2,4,4,2,2,4,4,2,1,5,5,1,"R_UZ0MPgzGvXbZQXv","Agnostic",33,"No",13,"Man","Spring 2020","White",4.33333333333333,4.33333333333333
"3135",3,3,4,2,4,2,4,2,4,2,4,2,"R_V2XwgwsHlEaZKtX","Agnostic",57,"Yes",1,"Woman","Spring 2021","White",2.33333333333333,4
"3136",5,1,5,1,3,3,5,1,4,2,5,1,"R_vAGMMiuzXArUOkx","Agnostic",57,"No",1,"Man","Spring 2021","White",2,5
"3137",4,2,4,2,4,2,5,1,2,4,5,1,"R_vdJoUVoR63isbmh","Agnostic",60,"Yes",4,"Woman","Spring 2021","White",2.66666666666667,4.66666666666667
"3138",4,2,2,4,2,4,4,2,1,5,4,2,"R_vepVU7nw3HuRKkV","Agnostic",16,"Yes",1,"Woman","Spring 2020","White",3.66666666666667,3.33333333333333
"3139",4,2,2,4,4,2,5,1,2,4,5,1,"R_vfcp0zLxTuC1lOp","Agnostic",16,"Yes",1,"Woman","Spring 2020","Multiracial",2.66666666666667,4
"3140",4,2,5,1,3,3,5,1,4,2,5,1,"R_vfdCzP1DeNYdsMp","Agnostic",14,"Yes",1,"Woman","Spring 2020","White",2.33333333333333,5
"3141",4,2,4,2,2,4,4,2,3,3,4,2,"R_vHnKtLQJyKNmoP7","Agnostic",14,"No",1,"Woman","Spring 2020","Latinx",3,4
"3142",4,2,4,2,4,2,5,1,2,4,5,1,"R_vICbYCsOamxMzzb","Agnostic",1,"Yes",1,"Man","Fall 2018","White",2.66666666666667,4.66666666666667
"3143",2,4,3,3,1,5,3,3,2,4,3,3,"R_vivk9TcsQLctHfH","Agnostic",61,"Yes",7,"Woman","Spring 2021","White",4.33333333333333,3
"3144",3,3,3,3,1,5,5,1,1,5,4,2,"R_VJ5YG1JE1PtmVTH","Agnostic",1,"Yes",1,"Woman","Fall 2018","Latinx",4.33333333333333,4
"3145",3,3,3,3,3,3,4,2,3,3,4,2,"R_vjcN8WmFzNUzRND","Agnostic",40,"Yes",23,"Woman","Spring 2020","Multiracial",3,3.66666666666667
"3146",3,3,3,3,3,3,4,2,3,3,4,2,"R_VOsaNjXNBjQbFmN","Agnostic",56,"Yes",16,"Woman","Fall 2020","Asian",3,3.66666666666667
"3147",3,3,3,3,2,4,4,2,3,3,4,2,"R_vp1G2MHgSYcNC6t","Agnostic",33,"Yes",13,"Woman","Spring 2020","White",3.33333333333333,3.66666666666667
"3148",5,1,5,1,1,5,5,1,1,5,5,1,"R_vq0kkvtwGeFmONr","Agnostic",9,"Yes",16,"Woman","Fall 2018","Asian",3.66666666666667,5
"3149",4,2,3,3,2,4,4,2,3,3,4,2,"R_vr7XCsqVTL5V8ml","Agnostic",73,"No",16,"Woman","Spring 2021","Asian",3,3.66666666666667
"3150",3,3,2,4,3,3,3,3,3,3,4,2,"R_vTDw5gFEL4WumOd","Agnostic",57,"Yes",1,"Woman","Spring 2021","White",3,3
"3151",4,2,4,2,4,2,4,2,4,2,4,2,"R_vvEwkHHIwEgqBeV","Agnostic",36,"No",19,"Woman","Spring 2020","Asian",2,4
"3152",3,3,2,4,3,3,4,2,3,3,5,1,"R_vvHc4fsAp12CqsN","Agnostic",56,"Yes",16,"Man","Fall 2020","Asian",3,3.66666666666667
"3153",4,2,4,2,2,4,4,2,3,3,4,2,"R_vVSrDrNKCqEy3Qt","Agnostic",75,"No",19,"Man","Spring 2021","White",3,4
"3154",4,2,2,4,2,4,4,2,3,3,4,2,"R_vvth7Vf4hMDeQ5r","Agnostic",28,"No",11,"Woman","Spring 2020","Latinx",3,3.33333333333333
"3155",4,2,3,3,4,2,4,2,4,2,5,1,"R_vwYXh72WKVJjkDn","Agnostic",51,"Yes",13,"Woman","Fall 2020","Latinx",2,4
"3156",4,2,4,2,4,2,4,2,4,2,5,1,"R_VX9g4xGQWtCvCY9","Agnostic",55,"Yes",17,"Man","Fall 2020","White",2,4.33333333333333
"3157",4,2,4,2,3,3,5,1,2,4,4,2,"R_VXoUCiInvYhG1MZ","Agnostic",8,"No",11,"Woman","Fall 2018","White",3,4.33333333333333
"3158",3,3,4,2,3,3,5,1,3,3,5,1,"R_VXv47w5SxziYNTH","Agnostic",9,"Yes",16,"Man","Fall 2018","Asian",3,4.66666666666667
"3159",2,4,3,3,1,5,4,2,2,4,4,2,"R_vZGR0I5ugsnjqrn","Agnostic",8,"Yes",11,"Woman","Fall 2018","White",4.33333333333333,3.66666666666667
"3160",4,2,4,2,4,2,5,1,4,2,5,1,"R_vZvXLamvkJkSSBz","Agnostic",15,"No",1,"Woman","Spring 2020","White",2,4.66666666666667
"3161",5,1,4,2,4,2,4,2,5,1,5,1,"R_W1b6SeVtXn4LjwJ","Agnostic",36,"No",19,"Man","Spring 2020","White",1.33333333333333,4.33333333333333
"3162",3,3,3,3,3,3,5,1,3,3,4,2,"R_W1ievThPrLYjcQh","Agnostic",40,"Yes",23,"Woman","Spring 2020","White",3,4
"3163",1,5,4,2,1,5,3,3,1,5,3,3,"R_W2GHx1Yw3QQCEa5","Agnostic",33,"No",13,"Woman","Spring 2020","Latinx",5,3.33333333333333
"3164",2,4,3,3,2,4,4,2,2,4,4,2,"R_w4ZxWmkRQeziPy9","Agnostic",61,"No",7,"Woman","Spring 2021","White",4,3.66666666666667
"3165",2,4,4,2,4,2,2,4,3,3,2,4,"R_w5KA8hxvWD6wpHj","Agnostic",10,"No",18,"Woman","Fall 2018","Multiracial",3,2.66666666666667
"3166",3,3,3,3,2,4,4,2,3,3,4,2,"R_W6CkFhbiLQJ7Xrj","Agnostic",7,"Yes",8,"Man","Fall 2018","White",3.33333333333333,3.66666666666667
"3167",3,3,5,1,3,3,5,1,3,3,5,1,"R_W7CIFoCinvFQFJn","Agnostic",62,"No",7,"Man","Spring 2021","Black",3,5
"3168",3,3,2,4,2,4,3,3,3,3,3,3,"R_WAt8asRrFtW9uPn","Agnostic",33,"No",13,"Man","Spring 2020","Latinx",3.33333333333333,2.66666666666667
"3169",2,4,2,4,2,4,2,4,2,4,3,3,"R_WB9Q3J8lZ3xIvZv","Agnostic",74,"Yes",17,"Woman","Spring 2021","Multiracial",4,2.33333333333333
"3170",2,4,2,4,3,3,4,2,2,4,4,2,"R_WD4VuCuN5HGZ54Z","Agnostic",8,"No",11,"Man","Fall 2018","Multiracial",3.66666666666667,3.33333333333333
"3171",3,3,4,2,2,4,4,2,2,4,4,2,"R_WdsNq2YvLQTs3oR","Agnostic",33,"Yes",13,"Woman","Spring 2020","White",3.66666666666667,4
"3172",4,2,4,2,3,3,4,2,4,2,5,1,"R_Wffv2n3wwTUxFxT","Agnostic",66,"Yes",12,"Man","Spring 2021","White",2.33333333333333,4.33333333333333
"3173",2,4,3,3,4,2,5,1,2,4,4,2,"R_Wjj8Vjc5JKDHVHb","Agnostic",37,"No",20,"Man","Spring 2020","White",3.33333333333333,4
"3174",4,2,4,2,3,3,4,2,2,4,4,2,"R_wLbGZicrtxm1C7L","Agnostic",58,"Yes",1,"Woman","Spring 2021","Multiracial",3,4
"3175",1,5,1,5,1,5,1,5,1,5,3,3,"R_wM0EU9KT4AeBciJ","Agnostic",56,"Yes",16,"Woman","Fall 2020",NA,5,1.66666666666667
"3176",2,4,2,4,4,2,4,2,2,4,4,2,"R_wNnBF88jhrjGX5f","Agnostic",48,"Yes",11,"Woman","Fall 2020","Asian",3.33333333333333,3.33333333333333
"3177",2,4,2,4,2,4,3,3,2,4,4,2,"R_wOkxbBemCDyNjwJ","Agnostic",62,"Yes",7,"Woman","Spring 2021","White",4,3
"3178",3,3,3,3,4,2,3,3,3,3,3,3,"R_WqtXg9nxVTA5lxD","Agnostic",48,"No",11,"Woman","Fall 2020","Latinx",2.66666666666667,3
"3179",3,3,4,2,2,4,3,3,1,5,4,2,"R_WrkUPqsFAWA2hYB","Agnostic",40,"Yes",23,"Woman","Spring 2020","White",4,3.66666666666667
"3180",2,4,2,4,2,4,2,4,2,4,2,4,"R_WvvKhawKtWVlNQJ","Agnostic",68,"Yes",13,"Woman","Spring 2021","White",4,2
"3181",4,2,4,2,4,2,4,2,4,2,4,2,"R_WwdSPcB9IqSyoH7","Agnostic",29,"No",12,"Woman","Spring 2020","White",2,4
"3182",3,3,4,2,2,4,5,1,1,5,5,1,"R_wXcN7DQ7LvBydHP","Agnostic",78,"No",24,"Woman","Spring 2021","White",4,4.66666666666667
"3183",3,3,2,4,2,4,3,3,3,3,3,3,"R_wXEfE2f3Am3BObT","Agnostic",63,"No",8,"Woman","Spring 2021","White",3.33333333333333,2.66666666666667
"3184",3,3,4,2,2,4,5,1,2,4,5,1,"R_wZxtjWg6TkgTsqJ","Agnostic",62,"Yes",7,"Woman","Spring 2021","White",3.66666666666667,4.66666666666667
"3185",4,2,2,4,4,2,2,4,4,2,2,4,"R_x4pYAi58Iad3wml","Agnostic",9,"No",16,"Man","Fall 2018","Asian",2,2
"3186",4,2,4,2,4,2,4,2,3,3,4,2,"R_xaNR4XPXNPvCpAR","Agnostic",56,"Yes",16,NA,"Fall 2020","White",2.33333333333333,4
"3187",4,2,2,4,4,2,4,2,4,2,5,1,"R_xAseuRhivCI6drj","Agnostic",28,"Yes",11,"Woman","Spring 2020","White",2,3.66666666666667
"3188",2,4,2,4,2,4,4,2,2,4,4,2,"R_xbEBncUGh0RXnyh","Agnostic",29,"No",12,"Woman","Spring 2020","Asian",4,3.33333333333333
"3189",4,2,3,3,2,4,5,1,4,2,4,2,"R_xeXbsuNXyCWlIit","Agnostic",9,"No",16,"Woman","Fall 2018","Asian",2.66666666666667,4
"3190",4,2,4,2,4,2,5,1,3,3,5,1,"R_xgAfzIVpUCODqyl","Agnostic",40,"Yes",23,"Man","Spring 2020","Multiracial",2.33333333333333,4.66666666666667
"3191",2,4,5,1,2,4,5,1,2,4,4,2,"R_XGisNxcmb0jf8fT","Agnostic",68,"No",13,"Man","Spring 2021","Latinx",4,4.66666666666667
"3192",3,3,3,3,3,3,3,3,3,3,3,3,"R_XGlHwKi5gEiMatz","Agnostic",62,"No",7,NA,"Spring 2021",NA,3,3
"3193",2,4,3,3,4,2,4,2,2,4,4,2,"R_XGQ4RdQouQ0YaFH","Agnostic",8,"Yes",11,"Man","Fall 2018","Asian",3.33333333333333,3.66666666666667
"3194",3,3,4,2,4,2,4,2,3,3,4,2,"R_Xh1rwfqiyxqAxsR","Agnostic",9,"Yes",16,"Woman","Fall 2018","Asian",2.66666666666667,4
"3195",4,2,4,2,2,4,2,4,4,2,4,2,"R_Xi7U3zMhN4pJdfz","Agnostic",29,"No",12,"Woman","Spring 2020","Multiracial",2.66666666666667,3.33333333333333
"3196",4,2,4,2,2,4,5,1,2,4,5,1,"R_XilwRLJyRW0okg1","Agnostic",62,"Yes",7,"Woman","Spring 2021","White",3.33333333333333,4.66666666666667
"3197",1,5,1,5,2,4,3,3,2,4,3,3,"R_XLM4WBd2iXJ5NER","Agnostic",57,"No",1,"Woman","Spring 2021","White",4.33333333333333,2.33333333333333
"3198",5,1,5,1,5,1,5,1,5,1,5,1,"R_xlm6H51f3AzaWAx","Agnostic",17,"No",1,"Man","Spring 2020","White",1,5
"3199",1,5,1,5,1,5,5,1,1,5,2,4,"R_xn0tYMfQD5GyXw5","Agnostic",40,"Yes",23,"Man","Spring 2020","White",5,2.66666666666667
"3200",4,2,4,2,3,3,4,2,2,4,4,2,"R_Xn3QgcRQWPaAylz","Agnostic",9,"Yes",16,"Woman","Fall 2018","Asian",3,4
"3201",3,3,3,3,3,3,3,3,3,3,5,1,"R_xnEhO7Y52arji9j","Agnostic",8,"Yes",11,NA,"Fall 2018","White",3,3.66666666666667
"3202",2,4,2,4,2,4,3,3,2,4,3,3,"R_XpQDXGGF5nzccet","Agnostic",7,"No",8,"Woman","Fall 2018","White",4,2.66666666666667
"3203",5,1,4,2,2,4,5,1,3,3,5,1,"R_XsTE6LAvlcMRRx7","Agnostic",74,"Yes",17,"Woman","Spring 2021","White",2.66666666666667,4.66666666666667
"3204",3,3,3,3,3,3,4,2,3,3,5,1,"R_xtJDByKmPbi9VXb","Agnostic",56,"No",16,"Woman","Fall 2020","Asian",3,4
"3205",1,5,2,4,2,4,4,2,2,4,4,2,"R_XtypJYhqoCHYuwF","Agnostic",73,"Yes",16,"Woman","Spring 2021","Latinx",4.33333333333333,3.33333333333333
"3206",2,4,2,4,2,4,3,3,2,4,4,2,"R_XunM3BWX49rMhUd","Agnostic",78,"Yes",24,"Man","Spring 2021","Asian",4,3
"3207",5,1,4,2,2,4,4,2,4,2,5,1,"R_XX3COOizdmQlc6R","Agnostic",44,"No",3,"Man","Fall 2020","White",2.33333333333333,4.33333333333333
"3208",1,5,1,5,2,4,3,3,2,4,3,3,"R_xyFAh4xDmeugciR","Agnostic",24,"No",6,"Woman","Spring 2020",NA,4.33333333333333,2.33333333333333
"3209",5,1,5,1,2,4,5,1,3,3,5,1,"R_Xz9bgAftMCjwkJX","Agnostic",40,"Yes",23,"Woman","Spring 2020","White",2.66666666666667,5
"3210",2,4,2,4,2,4,5,1,3,3,4,2,"R_XZj7XESwZTFt15v","Agnostic",21,"No",4,"Woman","Spring 2020","Multiracial",3.66666666666667,3.66666666666667
"3211",5,1,4,2,5,1,5,1,5,1,5,1,"R_Y3VzXsXTis3dAzv","Agnostic",37,"No",20,"Woman","Spring 2020","White",1,4.66666666666667
"3212",2,4,3,3,2,4,5,1,3,3,5,1,"R_Y6mSEHW553qzKjD","Agnostic",33,"Yes",13,"Man","Spring 2020","White",3.66666666666667,4.33333333333333
"3213",4,2,3,3,3,3,4,2,3,3,4,2,"R_Y9PGE3gj05WS4iR","Agnostic",73,"No",16,"Woman","Spring 2021","Latinx",2.66666666666667,3.66666666666667
"3214",4,2,4,2,4,2,5,1,2,4,5,1,"R_YcA7quITS1hOpj3","Agnostic",40,"Yes",23,"Woman","Spring 2020","White",2.66666666666667,4.66666666666667
"3215",3,3,4,2,4,2,4,2,4,2,4,2,"R_yDua2D7AMD7joNX","Agnostic",60,"Yes",4,"Man","Spring 2021","White",2.33333333333333,4
"3216",4,2,3,3,3,3,4,2,3,3,2,4,"R_yEY5TFonYVeR4Ih","Agnostic",32,"No",13,"Woman","Spring 2020","White",2.66666666666667,3
"3217",2,4,4,2,3,3,4,2,4,2,4,2,"R_yHZDZsu2NecaDfP","Agnostic",15,"No",1,"Woman","Spring 2020","White",3,4
"3218",3,3,4,2,1,5,4,2,3,3,5,1,"R_ym3hZRuVtC3OMRX","Agnostic",73,"Yes",16,"Man","Spring 2021","Latinx",3.66666666666667,4.33333333333333
"3219",4,2,4,2,5,1,5,1,4,2,5,1,"R_ym8f4B7owNQ665z","Agnostic",16,"No",1,"Woman","Spring 2020","Black",1.66666666666667,4.66666666666667
"3220",1,5,2,4,1,5,2,4,4,2,4,2,"R_yPF5xBib7dK2JlT","Agnostic",43,"No",1,"Man","Fall 2020","White",4,2.66666666666667
"3221",2,4,5,1,2,4,5,1,1,5,5,1,"R_YReFAkN6NZ8qnvP","Agnostic",8,"Yes",11,"Woman","Fall 2018","Black",4.33333333333333,5
"3222",3,3,4,2,3,3,4,2,2,4,4,2,"R_ys7PmclpX55Iw5r","Agnostic",29,"No",12,"Man","Spring 2020","Latinx",3.33333333333333,4
"3223",1,5,4,2,1,5,1,5,1,5,1,5,"R_ysjjwseXIhKcBkB","Agnostic",48,"No",11,"Woman","Fall 2020","White",5,2
"3224",4,2,4,2,2,4,4,2,1,5,4,2,"R_YVr7jfnSW5GRg1r","Agnostic",56,"Yes",16,"Woman","Fall 2020","Asian",3.66666666666667,4
"3225",4,2,3,3,4,2,4,2,3,3,4,2,"R_yWqIcjcgQ9L5hyV","Agnostic",35,"Yes",14,"Man","Spring 2020","White",2.33333333333333,3.66666666666667
"3226",4,2,2,4,4,2,4,2,4,2,5,1,"R_YYQS00SybiM4OGd","Agnostic",8,"No",11,"Woman","Fall 2018","White",2,3.66666666666667
"3227",1,5,3,3,3,3,4,2,2,4,4,2,"R_z0Zo63CxJMNxqtX","Agnostic",74,"No",17,"Man","Spring 2021","Asian",4,3.66666666666667
"3228",2,4,3,3,3,3,5,1,3,3,5,1,"R_Z3GPYb2pmBCjnk5","Agnostic",8,"Yes",11,"Woman","Fall 2018","White",3.33333333333333,4.33333333333333
"3229",3,3,4,2,3,3,4,2,2,4,4,2,"R_Z8fhLAR6Fyjn3AB","Agnostic",15,"Yes",1,"Woman","Spring 2020","Black",3.33333333333333,4
"3230",5,1,5,1,3,3,5,1,4,2,1,5,"R_z8pmj88Z7vgSH0l","Agnostic",62,"No",7,"Man","Spring 2021","White",2,3.66666666666667
"3231",4,2,4,2,1,5,5,1,4,2,5,1,"R_ZahrUAzgaNGuh8J","Agnostic",73,"No",16,"Man","Spring 2021","Asian",3,4.66666666666667
"3232",3,3,4,2,3,3,4,2,2,4,4,2,"R_zcERgCWlsmxYroR","Agnostic",14,"Yes",1,"Man","Spring 2020","White",3.33333333333333,4
"3233",1,5,3,3,1,5,5,1,1,5,5,1,"R_zevkkV0CxR2ycLv","Agnostic",1,"Yes",1,"Man","Fall 2018","White",5,4.33333333333333
"3234",3,3,3,3,3,3,3,3,3,3,3,3,"R_zeWtGLSwzNfoQfv","Agnostic",21,"No",4,"Man","Spring 2020","White",3,3
"3235",5,1,5,1,5,1,5,1,5,1,5,1,"R_ZgHJ7AdCEWCIAh3","Agnostic",75,"Yes",19,"Woman","Spring 2021","White",1,5
"3236",3,3,2,4,3,3,4,2,3,3,4,2,"R_ZHSecsg1n5AVZux","Agnostic",68,"Yes",13,"Woman","Spring 2021","Latinx",3,3.33333333333333
"3237",4,2,4,2,5,1,5,1,4,2,4,2,"R_ZIeaPbaagsh9aF3","Agnostic",40,"Yes",23,"Woman","Spring 2020","White",1.66666666666667,4.33333333333333
"3238",2,4,3,3,3,3,2,4,2,4,3,3,"R_ZKNOmrkjmwtinV7","Agnostic",48,"Yes",11,"Woman","Fall 2020","Asian",3.66666666666667,2.66666666666667
"3239",3,3,4,2,2,4,4,2,3,3,4,2,"R_ZkpxPvquN2cX1ex","Agnostic",59,"Yes",1,"Man","Spring 2021","Multiracial",3.33333333333333,4
"3240",3,3,3,3,3,3,3,3,3,3,3,3,"R_Zmk2nKMxtpgVrxv","Agnostic",17,"Yes",1,"Woman","Spring 2020","White",3,3
"3241",4,2,4,2,2,4,5,1,5,1,1,5,"R_ZqSG9R2DSFDhLgd","Agnostic",61,"Yes",7,"Man","Spring 2021","White",2.33333333333333,3.33333333333333
"3242",2,4,3,3,2,4,4,2,2,4,4,2,"R_Zs0B9zp4xVIVNDz","Agnostic",70,"Yes",13,"Woman","Spring 2021","Latinx",4,3.66666666666667
"3243",2,4,3,3,3,3,4,2,3,3,4,2,"R_Ztao1xKY0p393j3","Agnostic",78,"Yes",24,"Woman","Spring 2021","White",3.33333333333333,3.66666666666667
"3244",2,4,3,3,2,4,4,2,2,4,4,2,"R_zU4EBJdMl5pYeEF","Agnostic",21,"Yes",4,"Woman","Spring 2020","White",4,3.66666666666667
"3245",2,4,1,5,1,5,3,3,2,4,4,2,"R_Zy3Rq8BJDv8SqUV","Agnostic",8,"No",11,"Woman","Fall 2018","Asian",4.33333333333333,2.66666666666667
"3246",4,2,4,2,2,4,5,1,2,4,4,2,"R_00PmUh5x0d5Jkyt","Christian - Protestant",63,"Yes",8,"Man","Spring 2021","Black",3.33333333333333,4.33333333333333
"3247",4,2,5,1,3,3,5,1,3,3,5,1,"R_01EvLfBiZRMkVax","Christian - Protestant",71,"Yes",14,"Man","Spring 2021","White",2.66666666666667,5
"3248",3,3,4,2,3,3,4,2,3,3,4,2,"R_01TMNDA1dbs06Od","Christian - Protestant",34,"Yes",14,"Man","Spring 2020","Black",3,4
"3249",3,3,4,2,4,2,5,1,3,3,4,2,"R_0cxDHaZ0DWA3eHn","Christian - Protestant",30,"No",12,"Man","Spring 2020","Latinx",2.66666666666667,4.33333333333333
"3250",5,1,3,3,4,2,3,3,4,2,4,2,"R_0cZlEOTIXPjMflf","Christian - Protestant",78,"Yes",24,"Man","Spring 2021","Multiracial",1.66666666666667,3.33333333333333
"3251",4,2,4,2,2,4,5,1,3,3,4,2,"R_0eUrKQmEXVtyD5L","Christian - Protestant",36,"No",19,"Woman","Spring 2020","White",3,4.33333333333333
"3252",4,2,4,2,3,3,4,2,3,3,4,2,"R_0H9Ysw3GZrpp9f3","Christian - Protestant",56,"Yes",16,"Woman","Fall 2020","Multiracial",2.66666666666667,4
"3253",3,3,3,3,1,5,4,2,2,4,4,2,"R_0iAJceiTu1yQo6Z","Christian - Protestant",55,"Yes",17,"Woman","Fall 2020","Black",4,3.66666666666667
"3254",4,2,4,2,4,2,4,2,4,2,4,2,"R_0j0X68GfegwCeXv","Christian - Protestant",80,"No",14,"Woman","Spring 2021","White",2,4
"3255",5,1,4,2,1,5,4,2,5,1,4,2,"R_0jJM0RCCNawm8Bb","Christian - Protestant",37,"No",20,NA,"Spring 2020","Black",2.33333333333333,4
"3256",4,2,4,2,4,2,4,2,5,1,5,1,"R_0Jkp8Hjg2qQ7pfj","Christian - Protestant",7,"Yes",8,"Woman","Fall 2018","White",1.66666666666667,4.33333333333333
"3257",1,5,2,4,2,4,5,1,2,4,5,1,"R_0kPhRgDiBn2BI1r","Christian - Protestant",33,"No",13,"Woman","Spring 2020","Native",4.33333333333333,4
"3258",4,2,4,2,2,4,4,2,3,3,4,2,"R_0oXTXY2dvqAjvhL","Christian - Protestant",55,"No",17,"Woman","Fall 2020","Black",3,4
"3259",5,1,5,1,5,1,5,1,3,3,5,1,"R_0PRNSDrHsZaaNXP","Christian - Protestant",71,"Yes",14,"Woman","Spring 2021","White",1.66666666666667,5
"3260",4,2,4,2,4,2,5,1,5,1,5,1,"R_0rEpXyZoHTPlVlf","Christian - Protestant",62,"Yes",7,"Man","Spring 2021","White",1.66666666666667,4.66666666666667
"3261",1,5,4,2,2,4,5,1,2,4,5,1,"R_0VP8vpNrab8Xpbr","Christian - Protestant",48,"No",11,"Woman","Fall 2020","Multiracial",4.33333333333333,4.66666666666667
"3262",3,3,3,3,3,3,3,3,3,3,3,3,"R_0VtrYkYiFBgcznj","Christian - Protestant",52,"Yes",14,"Woman","Fall 2020","White",3,3
"3263",4,2,4,2,3,3,5,1,4,2,5,1,"R_0wD4UTmbB3LUSNr","Christian - Protestant",35,"No",14,"Woman","Spring 2020","Black",2.33333333333333,4.66666666666667
"3264",5,1,5,1,4,2,5,1,4,2,5,1,"R_10CvRmEeAGrc0W2","Christian - Protestant",76,"Yes",19,"Woman","Spring 2021","White",1.66666666666667,5
"3265",4,2,5,1,4,2,5,1,4,2,5,1,"R_10HjiSFOpBoZTzs","Christian - Protestant",1,"Yes",1,"Woman","Fall 2018","White",2,5
"3266",1,5,3,3,1,5,4,2,1,5,3,3,"R_10JGtWAPLCKnH5R","Christian - Protestant",37,"No",20,"Woman","Spring 2020","White",5,3.33333333333333
"3267",4,2,4,2,3,3,4,2,2,4,4,2,"R_10MjvWWBMTOKcWY","Christian - Protestant",49,"No",12,"Woman","Fall 2020","White",3,4
